Model,Init. Years,Init. Months,Init. Frequency,N Members,Rollout,Variables,Cluster,Path,Notes
GraphCast,2000-2025,-1,~weekly,N/A,50 days,"2t
mslp
q_1000
q_850
q_925
t_1000
t_850
t_925
tp
u_200
u_50
u_850
v_200
v_50
v_850
z_200
z_500
z_850",DSI,/net/monsoon/marchakitus/reforecast/forecasts_graphcast_e2s,
Aurora,2000-2025,-1,~weekly,N/A,50 days,"2t
mslp
q_1000
q_850
q_925
t_1000
t_850
t_925
u_200
u_50
u_850
v_200
v_50
v_850
z_200
z_500
z_850",DSI,/net/monsoon/marchakitus/reforecast/forecasts_aurora_e2s,No Precipitation.
AIFS-single-v2,2000-2025,-1,~weekly,N/A,50 days,"2d
2t
q_1000
q_850
q_925
sp
stl1
stl2
swvl1
swvl2
t_1000
t_850
t_925
tcw
tp
u_200
u_50
u_850
v_200
v_50
v_850
z_200
z_500
z_850",DSI,/net/monsoon/marchakitus/reforecast/forecasts_AIFS_v2,
AIFS-ENS-v2,2000-2025,-1,~weekly,25,50 days,"2d
2t
q_1000
q_850
tp
u_200
u_850
v_200
v_850
z_500
z_850",DSI,/net/monsoon/marchakitus/AIFS/v2p0/combined/forecasts_AIFS_ENS_v2,To be updated with more variables
NeuralGCM-IMERG,2000-2024,5-9,~weekly,25,45 days,"v_component_of_wind_200_avg
geopotential_850_avg
temperature_1000
geopotential_200_avg
u_component_of_wind_50_avg
geopotential_500_avg
specific_humidity_1000
u_component_of_wind_200_avg
v_component_of_wind_50_avg
specific_humidity_850_avg
u_component_of_wind_500_avg
v_component_of_wind_850_avg
temperature_500_avg
temperature_200_avg
temperature_850_avg
specific_humidity_925_avg
temperature_925
v_component_of_wind_500_avg
u_component_of_wind_850_avg
total_precipitation_24hr",DSI,"/net/monsoon/reforecast/NGCM/climatology/
/net/monsoon/reforecast/NGCM/reforecast/NGCM/climatology",Second path is September
AIFS-single-v1,2019-2024,5-7,daily,N/A,45 days,"swvl1
swvl2
t_200
t_500
t_850
tcw
tp
u_200
u_850
v_200
v_850
z_200
z_500
z_850",DSI,/net/monsoon/marchakitus/monsoon_paper_archived/AIFS/output_daily_paper_0z,
AIFS-single-v1,1964-2018,5-7,twice-weekly,N/A,45 days,"swvl1
swvl2
t_200
t_500
t_850
tcw
tp
u_200
u_850
v_200
v_850
z_200
z_500
z_850",DSI,/net/monsoon/marchakitus/monsoon_paper_archived/AIFS/output_twice_weekly_paper_0z,
AIFS-single-v1.1,2019-2024,5-7,daily,N/A,45 days,"2t
stl1
stl2
swvl1
swvl2
t_200
t_500
t_850
tcw
tp
u_200
u_850
v_200
v_850
z_200
z_500
z_850",DSI,/net/monsoon/marchakitus/monsoon_paper_archived/AIFS_1.1/output_daily/,
graphcast,1965-2024,5-7,twice-weekly,N/A,45 days,"total_precipitation_6hr
2m_temperature
geopotential_50
geopotential_500
geopotential_850
u_component_of_wind_50
u_component_of_wind_200
u_component_of_wind_250
u_component_of_wind_850",DSI,/net/monsoon/marchakitus/monsoon_paper/graphcast/inference_gcast_twice_weekly_0z,
NeuralGCM-IMERG,1965-2024,5-7,twice-weekly,51,45 days,"v_component_of_wind_200
v_component_of_wind_850
u_component_of_wind_200
u_component_of_wind_850
precipitation_cumulative_mean
geopotential_200
geopotential_500
geopotential_850
specific_humidity_200
specific_humidity_225
specific_humidity_250
specific_humidity_300
specific_humidity_350
specific_humidity_400
specific_humidity_500
specific_humidity_550
specific_humidity_600
specific_humidity_650
specific_humidity_700
specific_humidity_750
specific_humidity_775
specific_humidity_800
specific_humidity_825
specific_humidity_850
specific_humidity_875
specific_humidity_900
specific_humidity_925
specific_humidity_950
specific_humidity_975
specific_humidity_1000
temperature_200
temperature_225
temperature_250
temperature_300
temperature_350
temperature_400
temperature_450
temperature_500
temperature_550
temperature_600
temperature_650
temperature_700
temperature_750
temperature_775
temperature_800
temperature_825
temperature_850
temperature_875
temperature_900
temperature_925
temperature_950
temperature_975
temperature_1000",DSI,/net/monsoon/marchakitus/monsoon_paper/ngcm/output_twice_weekly_paper_0z_51/,
gencast,2019-2024,5-7,twice-weekly,52,45 days,"temperature_200
temperature_250
temperature_300
temperature_400
temperature_500
temperature_600
temperature_700
temperature_850
temperature_925
temperature_1000
sea_surface_temperature
2m_temperature
specific_humidity_200
specific_humidity_250
specific_humidity_300
specific_humidity_400
specific_humidity_500
specific_humidity_600
specific_humidity_700
specific_humidity_850
specific_humidity_925
specific_humidity_1000
v_component_of_wind_200
v_component_of_wind_250
v_component_of_wind_500
v_component_of_wind_850
u_component_of_wind_200
u_component_of_wind_250
u_component_of_wind_500
u_component_of_wind_850
total_precipitation_12hr",Derecho,/glade/campaign/univ/uchi0018/bing/gencast/,
